OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41622,2017,CA,CDF,MVU,BLACK,00015328,2017/06/25 00:00:00+00,2017/06/26 00:00:00+00,14,USFS inc # 1862 and cause = equipment,36,33.67333221,1,1,,195043.38904339,3101.39340379934
41623,2017,CA,CDF,MVU,BANDY 2,00021622,2017/08/17 00:00:00+00,2017/08/22 00:00:00+00,9,"UAV , doesn't match CAIRS acres",10.3,10.30523109,1,1,,59556.82370463,1031.657779076
41624,2017,CA,CDF,MMU,PEAK,00018116,2017/09/03 00:00:00+00,2017/09/09 00:00:00+00,10,,,677.89263916,1,1,,4355158.72671655,12706.7857243347
41625,2017,CA,CDF,MMU,OAKWOOD,00011650,2017/06/10 00:00:00+00,2017/06/13 00:00:00+00,9,,,1428.53259277,1,1,,9098661.35961811,27781.0100402455
41626,2017,CA,CDF,MMU,MISSION,00018115,2017/09/03 00:00:00+00,2017/09/13 00:00:00+00,11, ,,988.46746826,1,1,,6322470.91942549,23492.4099229747
41628,2017,CA,CDF,MMU,BEN,00013022,2017/06/28 00:00:00+00,2017/07/06 00:00:00+00,10,,,558.14251709,1,1,,3582623.50732331,15561.6037172533
41629,2017,CA,CDF,MMU,WRIGHT,00009464,2017/05/12 00:00:00+00,2017/05/13 00:00:00+00,14,,,1730.46643066,1,1,,10991215.1844836,17355.1735740487
41630,2017,CA,CDF,MMU,SPRING,00013291,2017/07/03 00:00:00+00,2017/07/07 00:00:00+00,2,,,208.22677612,1,1,,1339728.6988202,8837.84729712223
41631,2017,CA,CDF,MMU,CORONADO,00016525,2017/08/13 00:00:00+00,2017/08/13 00:00:00+00,10,,,123.1079483,1,1,,795565.567419805,4438.43984647803
41632,2017,CA,CDF,LNU,SMITH,00006018,2017/07/01 00:00:00+00,2017/07/01 00:00:00+00,14,,8,18.19827843,1,1,,122338.772897295,1377.41062400946
41633,2017,CA,CDF,LNU,BEAR,00005694,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,14,,15,11.68308449,2,1,,79068.59910797,1129.82820126158
41634,2017,CA,CDF,LNU,KNOXVILLE,00006031,2017/07/01 00:00:00+00,2017/07/01 00:00:00+00,14,,15,30.00041771,2,1,,199540.478948355,1812.38535697205
41635,2017,CA,CDF,LNU,GEYSERS,00004515,2017/05/24 00:00:00+00,2017/05/24 00:00:00+00,14,,12,12.65132141,2,1,,84482.71228277,1145.41874083341
41636,2017,CA,CDF,LNU,MURPHY,00006709,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,14,,40,32.98060226,1,1,,220425.721019805,2149.32360863139
41637,2017,CA,CDF,LNU,SITES,00006602,2017/07/15 00:00:00+00,2017/07/15 00:00:00+00,14,,15,15.6287756,2,1,,105943.240555145,1373.89547047714
41638,2017,CA,LRA,VLJ,TOLL,00005654,2017/06/22 00:00:00+00,2017/06/22 00:00:00+00,14,,35,43.80302429,2,1,,286497.080535225,2525.29678114779
41639,2017,CA,CDF,LNU,SANDS,00006706,2017/07/17 00:00:00+00,2017/07/19 00:00:00+00,14,,70,53.44393539,1,1,,358663.391566735,3380.86667605604
41640,2017,CA,CDF,LNU,BOTTLE,00007582,2017/08/08 00:00:00+00,2017/08/09 00:00:00+00,14,,75,61.83029556,2,1,,414237.084032775,3396.88367196685
41641,2017,CA,CDF,LNU,FOOTHILL,00007092,2017/07/27 00:00:00+00,2017/07/27 00:00:00+00,4,"2 Structures Destroyed, report says 4 house burned",4,4.21308136,1,1,,28344.89513594,814.099962619372
41642,2017,CA,CDF,LNU,INDEPENDENCE,00007092,2017/07/27 00:00:00+00,2017/07/27 00:00:00+00,14,,8,4.20911932,1,1,,28006.39451331,1688.63080869217
41643,2017,CA,CDF,LNU,LAKEVILLE,00007364,2017/08/03 00:00:00+00,2017/08/03 00:00:00+00,14,,40,37.01512527,1,1,,242603.113151025,2359.64523592507
